REQUEST,Goods,oracle code,,ITEM DESCRIPTION,ITEM CATEGORY,QTY,price,JOB NO,total-amount,STATUE,ORDER,,
REQ2500008634,Goods, 10005042,,"PENCIL, NORIS HB, ART NO. 122-HB, MAKE: STEADTLER, PACKING: 12 NOS / PKT, ORIGIN: GERMANY",STAIONERY,20,0.88,4378M,17.6,Approved,770303,,
REQ2500008634,Goods, 10005056,,"PEN 1.0MM, BLUE, TRI-MATE, MAKE: CELLO, ORIGIN: INDIA",STAIONERY,20,0.31,4378M,6.2,Approved,770303,,
REQ2500008634,Goods, 10005023,,"PEN HOLDER, NET TYPE, MAKE: DELUXE",STAIONERY,6,1.994210287,4378M,11.96526172,Approved,770303,,
REQ2500008634,Goods, 10004985,,"STAPLE, NO.35-1M, 26/6, MAKE: MAX",STAIONERY,6,1.0995006,4378M,6.5970036,Approved,770303,,
REQ2500008634,Goods, 10004973,,"STAPLER, MODEL HD-50/50R, BRAND: MAX, ORIGIN: JAPAN",STAIONERY,6,16,4378M,96,Approved,770303,,
REQ2500008634,Goods, 10004997,,"STAPLE REMOVER, MODEL SR-45, MAKE: KANGAROO",STAIONERY,5,1.75,4378M,8.75,Approved,770303,,
REQ2500008634,Goods, 10005035,,"GLUE STICK, 21GRM, MAKE: UHU",STAIONERY,5,3.1970166,4378M,15.985083,Approved,770303,,
REQ2500008634,Goods, 10005094,,"ENVELOPE A4 - 12 X 10, BROWN 120GSM, PRODUCT CODE: MX-120BR12X10, PACKING: 50 NOS/PKT, MAKE: MAXI",STAIONERY,20,0.18,4378M,3.6,Approved,770303,,
REQ2500008634,Goods, 10005095,,"ENVELOPE A5 - 10 X 7, BROWN 110GSM, PACKING: 50 NOS/PKT, MAKE: MAXI",STAIONERY,10,0.120063834,4378M,1.20063834,Approved,770303,,
REQ2500008634,Goods, 10005086,,"DOCUMENT WALLET FOLDER FULL FLAP/COVER, F4 300GSM BLUE, PRODUCT CODE: MS329, MAKE: MODEST",STAIONERY,50,1.1,4378M,55,Approved,770303,,
REQ2500008634,Goods, 10005037,,"ERASER WS20, MAKE: MAXI",STAIONERY,10,0.4110317,4378M,4.110317,Approved,770303,,
REQ2500008634,Goods, 10005015,,"SHARPNER CUP TYPE, MAKE: MODEST, ORIGIN: GERMANY",STAIONERY,10,0.9,4378M,9,Approved,770303,,
REQ2500008634,Goods, 10005007,,"SCALE 12"" X 30CM, STEEL , MAKE: MODEST, ORIGIN: UAE",STAIONERY,6,2.5049462,4378M,15.0296772,Approved,770303,,
REQ2500008634,Goods, 10005044,,"CORRECTION PEN, 12ML, 1 X 12, BRAND: PENTAL, ORIGIN: JAPAN",STAIONERY,10,6.8,4378M,68,Approved,770303,,
REQ2500008634,Goods, 10005043,,"PAPER CLIP 30MM, 100PCS / PKT, MODEL 233, BRAND: SAX",STAIONERY,10,1.844706853,4378M,18.44706853,Approved,770303,,
REQ2500008634,Goods, 10005051,,"BINDER CLIP 32MM, PACKING: 12PC / PKT, MAKE: MODEST",STAIONERY,10,1.5012538,4378M,15.012538,Approved,770303,,
REQ2500008634,Goods, 10005026,,"MEMO CUBE, RE-ORDER NO.680-4, (6 PADS/PKT), MAKE: 3M",STAIONERY,4,5.4235448,4378M,21.6941792,Approved,770303,,
REQ2500008634,Goods, 10005013,,"POST IT PAD 3"" X 3"", MODEL 654, MAKE: 3M",STAIONERY,5,2.8479344,4378M,14.239672,Approved,770303,,
REQ2500008634,Goods, 10004995,,"RUBBER BAND 16/50, 50G, MAKE: FIS",STAIONERY,5,1.75,4378M,8.75,Approved,770303,,
REQ2500008634,Goods, 10005022,,"REGISTER BOOK 2QUIRE MANUSCRIPT 9""X7"", HARD COVER, MAKE: MODEST",STAIONERY,10,3.901612903,4378M,39.01612903,Approved,770303,,
REQ2500008634,Goods, 10004999,,"RIGID BOX FILE, BLACK, MODEL MS311, MAKE: MODEST",STAIONERY,20,9.019230769,4378M,180.3846154,Approved,770303,,
REQ2500008634,Goods, 10005002,,"DIVIDER 1-12 , PACKING: 25SET / BOX, GREY, MODEL MS112, MAKE: MODEST",STAIONERY,20,1.25,4378M,25,Approved,770303,,
REQ2500008634,Goods, 10005003,,"DIVIDER 1-31 , PACKING: 10SET / BOX, GREY, MODEL MS131, MAKE: MODEST",STAIONERY,20,3.2194422,4378M,64.388844,Approved,770303,,
REQ2500008634,Goods, 10004974,,"PAPER PUNCH, 2 HOLES, MODEL DP-520, BRAND: KANGAROO",STAIONERY,4,7.75,4378M,31,Approved,770303,,
REQ2500008634,Goods, 10005022,,"REGISTER BOOK 2QUIRE MANUSCRIPT 9""X7"", HARD COVER, MAKE: MODEST",STAIONERY,10,3.901612903,4378M,39.01612903,Approved,770303,,
REQ2500008644,Goods, 10015007,,"WINDOW AC 2TON R410, MODEL NO. 313MWTF2-24CMN1, MAKE: MIDEA ",AC,6,1650,4378M,9900,Approved,PO2500004712,,
REQ2500008971,Goods, 10049718,,"REFRIGERATOR 140LTR, WHITE SINGLE DOOR, MODEL NO. SGR060H, MAKE: SUPER GENERAL",ELECTRICAL MATERIAL,2,500,0,1000,Approved,PO2500004822,,
REQ2500008971,Goods, 10015329,,"REFRIGERATOR 200LTR, DOUBLE DOOR, MODEL NO. WRN-2417, MAKE: WESTPOINT",ELECTRICAL EQUIPMENT,6,820,0,4920,Approved,PO2500004822,,
REQ2500008649,Goods, 10048916,,"DB 125A IN STEEL SHEET IP65 ENCLOSURE, I/C: 125A TP MCCB 25KA X1NO, O/G: 32A SP MCB 6KA X2NO, 63A SP MCB 6KA X2NO, 63A TP MCB 6KA X2NO, MAKE: SCHNEIDER",PANELS,1,1632,4378M,1632,Approved,PO2500004844,,
REQ2500008824,Goods, 10002458,,"THERMOSTAT FOR WINDOW A/C, MODEL: PFA 606S - 2 PIN, ORIGIN: CHINA",ELECTRICAL MATERIAL,10,5.919394906,4378M,59.19394906,Approved,772295,,
REQ2500008824,Goods, 10002420,,"THERMOSTAT 220V 2STAGE WITH SENSOR -25 DEG. TO 105 DEG, COOL ONLY, MODEL T7079B1044, BRAND: HONEYWELL, ORIGIN: USA",ELECTRICAL MATERIAL,2,320,4378M,640,Approved,772295,,
